Subject,Email_Body
['forerunner msa'],"['bob , attached is the form of agreement we need to use for forerunner', 'it is the same form we used for high mountain', 'we need to make sure it reflects design and engineering services provided', 'we will also need a tasking letter', 'ken choyce should be able to provide a contract at forerunner as well as scope of work', 'let me know if you have any questions']"
['platform lease -reply -reply'],"[""greg , attached is correspondence between marathon and enron ( megs ) concerning the revised draft of the lease that i had forwarded for marathon 's review and also to you for mariner 's review"", ""i wanted to give you the benefit of these discussion we have had with marathon concerning how the megs and mariner 's responsibilities should be split"", 'our intent with these revisions , and the our goals as we continue to work with marathon on these issues is to simply allocate the risks between mariner and megs with respect to marathon , as mariner and megs intended them to be allocated under the o & m agreement between the two', 'we are not asking marathon to rely on the o & m agreement to which they are not a party', 'risk associated with ownership of the flowline should run to megs and risk associated with the operation and maintenance of the flowline and ownership of the hydrocarbons should run to mariner as they currently do under the production handling agreement', 'we intend to work with marathon toward this end', 'if you have any comments concerning these discussions or would like to discuss this further with me , please contact me at ( 713 ) 853-3512', 'i would also be interested in any comments you may have with respect to the draft lease agreement i forwarded to you earlier']"
['platform lease -reply -reply'],"[""greg , attached is correspondence between marathon and enron ( megs ) concerning the revised draft of the lease that i had forwarded for marathon 's review and also to you for mariner 's review"", ""i wan to give you the benefit of these discussion we have had with marathon concerning how the megs and mariner 's responsibilities should be split"", 'our intent with these revisions , and the our goals as we continue to work with marathon on these issues is to simply allocate the risks between mariner and megs with respect to marathon , as mariner and megs intended them to be alloca under the o & m agreement between the two', 'we are not asking marathon to rely on the o & m agreement to which they are not a party', 'risk associa with ownership of the flowline should run to megs and risk associa with the operation and maintenance of the flowline and ownership of the hydrocarbons should run to mariner as they currently do under the production handling agreement', 'we intend to work with marathon toward this end', 'if you have any comments concerning these discussions or would like to discuss this further with me , please contact me at ( 713 ) 853-3512', 'i would also be interes in any comments you may have with respect to the draft lease agreement i forwarded to you earlier']"
['eol gtc'],"['one more revision to the gtc', 'few changes based on my discussion with this morning', 'i have attached a clean and redlined copy', ""the redline is compared against the version prior to the secondary point discussion for colleen 's benefit"", 'i am fine to run with this copy from a legal perspective unless dick or colleen had any comments']"
['eol gtc'],"['one more revision to the gtc', 'few changes based on my discussion with this morning', 'i have attached a clean and redlined copy', ""the redline is compared against the version prior to the secondary point discussion for colleen 's benefit"", 'i am fine to run with this copy from a legal perspective unless or colleen had any comments']"
['ena-lost creek it agreement'],"[""attached is a clean and redlined copy of the ena 's it agreement on lost creek"", ""the revisions incorporate chris hoekenga 's comments"", 'please review and let me know if this looks acceptable', 'if ok we can forward to br for their final review']"
['wildhorse consent'],"[""attached is a letter to ing to the assignment of crescendo 's gathering agreements from wildhorse to tom brown"", ""the letter reserves all our rights for wildhorse 's breach"", 'also attached is a letter for december nominations into questar reserving our rights', 'please review and provide any comments']"
['aec transaction agreement'],"[', please review my attached change to the confirm', ""this makes it clear that if we do n't like their changes to the master we will not accept them and the existing master still governs"", 'if acceptable i will forward back to aec', 'russell , aec is reviewing the master and indicated they would have comments within a week or so', 'the plan is now to execute this confirm and follow up with the new master', 'the credit language that was in the earlier version has been removed']"
['aec transaction agreement'],"[', please review my attached change to the confirm', ""this makes it clear that if we do n't like their changes to the master we will not accept them and the existing master still governs"", 'if acceptable i will forward back to aec', ', aec is reviewing the master and indicated they would have comments within a week or so', 'the plan is now to execute this confirm and follow up with the new master', 'the credit language that was in the earlier version has been removed']"
['wildhorse november noms'],"['ken , attached is the letter with a few slight revisions', 'we added bob mustard to the cc list', 'we are all ok with this version', 'if you are fine with this please fax and mail hard copy as we have done before', 'if you have any questions , feel free to call me at ( 713 ) 853-3512']"
['tbi gathering agreement'],"['ken , attached is a draft of my comments to the gathering agreement', 'i have made it clear in the language that the agreement is fully interruptible at our discretion', 'the agreement is still a keep whole on the liquids', 'i did not change this section', 'also i did not review or change exhibit a', 'i will leave that to you']"
['amendment letters'],"[', attached are amendments for the letter agreements', 'please distribute to the appropriate individuals', 'i have also included the petro-canada form', 'barry , who in calgary should work the petro document let me know if you have any questions']"
['amendment letters'],"[', attached are amendments for the letter agreements', 'please distribute to the appropriate individuals', 'i have also included the petro-canada form', ', who in calgary should work the petro document let me know if you have any questions']"
['platform lease -reply -reply'],"[""attached is marathon 's response to our email"", 'i will call brad to set up a telephone conference', "", asked that i forward this information to a lawyer at burlington , but could n't recall the name"", 'do you have any contact information for burlington']"
['tufco trawick i/c'],"[', we are currently negotiating an interconnect agreement for an upgrade of an existing interconnect off the trawick system into tufco', 'the interconnect is solely a delivery to tufco', 'we are down to one point of difference in the agreement', 'typically hpl disclaims any liability for consequential damages to the other party', 'tufco is asking for an exception for any violation of gas quality specifications', ""this would mean that if hpl delivered off spec gas to tufco which required cleanup of their pipeline system or caused damage to a customer of tufco 's hpl would be liable under this agreement"", 'from a legal standpoint , we can make this exception , but i wanted to make sure everyone understood and agreed with the acceptance of this potential liability', ""assuming we are properly monitoring all our receipts there should n't be an issue"", 'please let me know what you think about this situation', 'i can forward a copy of the interconnect agreement if you do not currently have one']"
['tufco trawick i/c'],"[', we are currently negotiating an interconnect agreement for an upgrade of an existing interconnect off the trawick system into tufco', 'the interconnect is solely a delivery to tufco', 'we are down to one point of difference in the agreement', 'typically hpl disclaims any liability for consequential damages to the other party', 'tufco is asking for an exception for any violation of gas quality specifications', ""this would mean that if hpl delivered off spec gas to tufco which required cleanup of their pipeline system or caused damage to a customer of tufco 's hpl would be liable under this agreement"", 'from a legal standpoint , we can make this exception , but i wan to make sure everyone understood and agreed with the acceptance of this potential liability', ""assuming we are properly monitoring all our receipts there should n't be an issue"", 'please let me know what you think about this situation', 'i can forward a copy of the interconnect agreement if you do not currently have one']"
['hello !'],"['hi sophie , i like the sound of the trifle described in your email to mark', 'i will have extra sherry on mine', 'how is it going i had a great time at the party in austin and hanging with you at the brown bar', 'i am not sure what i was thinking toward the end of the evening by mixing tequila and cranberry , but i guess you have to get creative when the circumstances require', ""i was moving a little slow the next day and drive back to houston was n't quite as pleasant"", ""did you have a good weekend i did n't do anything real exciting for the weekend before halloween"", 'went to a concert that had 4 bands', 'one of them is a band from austin called vallejo', 'heard of them now tell me the truth', 'do you really like yorkshire pudding drop me a line when you get a chance']"
['csa amendments'],"[', please review the attached form of amendments', 'i have also prepared the form of amendment for the o & m agreements , but will hold until you get further information on the fee arrangements', 'after you review these forms , lets discuss and review where we are at in this whole process', 'we will need to get tw , accounting , and investor review of these as soon as possible']"
['revised palo alto docs'],"[', attached are the revised documents for palo alto', 'the documents are revised to reflect the deal term comments that the city fored', 'i changed the name of the document to natural gas services agreement to address their concerns about a non commodity agreement', 'i have also added language requiring a city council resolution to for this document', 'instead of a legal opinion , we would require the city attorney to approve both the natural gas services and transaction agreements', 'in included a redline of the services agreement from the prior version', 'the transaction agreement would not redline on ms word for some reason', 'i will request my assistant to redline it for you on monday using comparewrite', 'if you need help prior to my return , please coordinate with jeff hodge', 'please for these documents to the city if you are okay with them']"
['revised palo alto docs'],"[', attached are the revised documents for palo alto', 'the documents are revised to reflect the deal term comments that the city fored', 'i changed the name of the document to natural gas services agreement to address their concerns about a non commodity agreement', 'i have also added language requiring a city council resolution to for this document', 'instead of a legal opinion , we would require the city attorney to approve both the natural gas services and transaction agreements', 'in included a redline of the services agreement from the prior version', 'the transaction agreement would not redline on ms word for some reason', 'i will request my assistant to redline it for you on monday using comparewrite', 'if you need help prior to my return , please coordinate with jeff', 'please for these documents to the city if you are okay with them']"
['setoff language'],"['the following provisions are proposed to be added into the confirms for the 20 firm gtc', 'please review and revise as appropriate', 'if a triggering event occurs , the notifying party may ( at its election ) set 20 off any or all amounts which the affected party owes to the notifying party 20 or it affiliates ( under this agreement or otherwise ) against any or all 20 amounts which the notifying party owes to the affected party ( either under 20 this agreement or otherwise )', 'affiliate 018 means , with respect to any person , any other person ( other t han 20 an individual ) that , directly or indirectly , through one or more 20 intermediaries , controls , or is controlled by , or is under common control 20 with , such person', 'for this purpose , control means the direct or indirec t 20 ownership of fifty percent ( 50 % ) or more of the outstanding capital stock o r 20 other equity interests having ordinary voting power', 'probably want to nam e 20 epmi specifically']"
['future'],"[', i feel so bad right now', 'i never wanted anything but to be with you and love you the rest of my life', 'i wish we knew how important it was to communicate with each other over the past years', 'i think we are both guilty of not communicating', 'it is easier to talk to some besides each other about certain things because of certain expectations or assumptions that have been built up over our portion of a lifetime together', 'it hurts to now clearly understand this after things have happened', 'i am scared of you moving in with chris because i fear that we both may accept it as final', ""i do n't want it to be that and i want us to genuinely work on this relationship"", 'i want us to talk and do things together', 'you are my one true love']"
['draft ash removal agreement'],"[', could you please review the following agreement', 'specifically paragraph 11 which covers insurance', 'reuse will be providing ash handling services under this agreement', 'this same agreement will be used for both lumbertown power , llc and elizabethtown power , llc', 'these are the power plants in the alamac transaction', 'we are looking at replacing the existing ash and coal handling agreements with new ones', 'let me know if you have any questions']"
['consulting agreements'],"[', attached are the agreement for both suzanne and diane', 'the form also refers to a confidentiality and non-solicitation agreement that both suzanne and diane must execute', 'i have a call in to michelle about those forms', 'i will forward as soon as i get them', 'we can go ahead though and forward these agreements to mtm']"
['independent'],"['attached is the amendment to the field services agreement and a new construction agreement for the incremental collection facilities', 'indepent needs to prepare exhibit a to the construction agreement', 'this is a description of the facilities to be constructed', 'the construction agreement is the exact form which was executed for the initial collection facilities', 'please review and if everthing looks acceptable , please forward to indepent']"
['water well @ bammel'],"[', need your help on this', ""let 's get a copy of the grazing lease that candy is referring to in the e-mail"", 'i am not clear on what she means by having merl operate the well', 'i think she means allow him to graze this area under the terms of his existing lease , but i am not sure', 'can you get with candy on this']"
['language for proposal'],"['this term sheet proposal is for discussion purposes only to facilitate the negotiation preparation and execution of a definitive agreement', 'this term sheet proposal is not an offer or commitment by buyer or any affiliate of enron north america corp', 'all prices and terms are subject to change until such time when a definitive agreement may be signed', 'this term sheet proposal is not intended to create a binding or enforcable agreement or contract or to be complete and inclusive of all the terms of the subject transaction', 'furthermore , this term sheet proposal is not a commitment or agreement to enter into a binding agreement or contract in the future']"
['computer features'],"['hey ! some of these are funny', ""how goes it in the city it 's beautifulhere today after a cold , blustery , wet weekend"", 'the morels should bepopping through by this weekend', ""of course , it 's drill weekend , but i planto come in late/leave early later in the week"", ""i 'll think of you while i'mgrilling an iowa , corn-fed steak , sauteing morels in butter , and hoistingacoors light ! love , dad""]"
['pge due diligence effort'],"['travis , will be receiving a matrix from outside counsel', ""let 's gather the information but do n't follow sherry 's form yet"", 'we will use this matrix when it is received', 'looks like we also have other contracts', 'i will let you know when i receive the other contracts']"
['what up ?'],"['hi katie , how is my favorite aggie its been a hectic week so far', 'this deal is scheduled to close thursday morning and then a i catch a flight to denver thursday afternoon', 'i have been putting the guys off in our denver office for some time so i will be busy with them all day friday and then a flight back to houston on saturday', 'denver is a cool town , so it should be fun on friday night', 'how is the research project going any major breakthroughs in the health area', 'remember me when you win the nobel prize !']"
['general nonsense'],"['well it looks like eric is now officially burden with an oppressive mortgage', ""wo n't be long before he is out mowing the lawn in bermuda short and sandals with black socks"", 'eventually all the good ones go down', 'what up with you , jt g $']"
['merrick termination'],"[', attached is a draft of the termination letter', 'the letter assumes the letter agreement was executed', 'there also appears to be an agency agreement which appointed merrick as agent for row acquisition', 'this is also terminated by the letter', ""i have n't heard from shonnie yet"", 'please review and add any comments you have']"
['1/23/01 ene credit update'],"[', i was unable to launch the', 'pdf file - message said an application to open this document can not be found', ""i was n't able to view it , too"", 'can you send it in another format srs']"
['introduction of gerald chan'],"[', jeff asked me to write you to introduce you to gerald chan , the brother of ronnie chan ( ene director )', 'gerald has been investing in capital ventures in the us and asia for many years', 'of late , he has been running into companies in which enron is investing or is interested in investing , and jeff met with him today to discuss this', 'jeff suggested that gerald contact you to discuss further', 'i have provided gerald with your telephone numbers , address and e-mail address', 'you should expect to hear from him shortly', 'for your information , below is the pertinent information on gerald gerald chanchairman & ceomorningside technologies22/f , hang lung centre , 2 paterson streetcauseway bay , hong kong']"
['contacting presenters'],"['mike , i received a voicemail from matt khourie tonight regarding the presenters', ""apparently , jeff 's recollection that matt was to contact the presenters was inaccurate matt indicated that it had been agreed that you would contact the presenters and he would be responsible for arranging the sun demonstration"", 'with jeff out of town until monday , i would really like to have someone contact the presenters before the end of the week', ""is this going to be possible i 'll call you tomorrow to follow up"", ""in the meantime , below are the links to the presenters ' bios , which i believe include their phone numbers"", 'let me know if you have any trouble launching any of them', 'additionally , i spoke to penny this morning regarding the number of rsvps we have to date', ""i 'm very concerned about space and would like you guys to reconsider the buffet idea , with seating scattered around the facility , and the meeting room set up class room style"", 'if we go with the plated breakfast and have 120 people seated around 12 10-tops , there will be no space for a screen , podium , av equipment , etc', 'if we have more than 120 people ( i think the number this morning was 104 with reservations continuing to come in ) , we will not have enough space to seat everyone in the meeting room', ""in talking with some of the others who have planned breakfasts for the ypo group , i 've been told that many ypoers do not show for the breakfast and will walk in just in time for the presentations"", 'i think you guys and jeff are scheduled to meet next tuesday , so perhaps that can be discussed then', ""i 'll give you a call tomorrow , mike""]"
['african safari'],"['mark , jeff is considering taking jeffrey on an july 4-13 , and was wondering if you would have any interest in joining them', 'he is in the process of gathering information now and has not yet committed , but wanted to guage your interest', ""he 's looking primarily at the ngorongoro conservation area and the serengeti"", 'i can forward a proposed itinerary to you once received from the guides', ""please let us know if you 're at all interested""]"
['follow-up - brent larsen'],"[""stan , per jeff 's request , i have forwarded the resume you attached to philippe bibi , president & ceo of enron networks"", 'jeff would be interested in a tour of the building', 'would if the afternoon of may 8 , at 3 30 would work for your schedule', ""at jeff 's request , i plan on including bill donovan""]"
"['university of texas conference on energy finance , february 2001']","["", i am checking the date on jeff 's calendar ( i 'm assuming the date is february 22 )"", 'i am holding that date whole week for a trip abroad , but i think we have some flexibility on that and am checking it out', ""i 'll be back in touch as soon as i 've resolved that"", 'srs j ect09/20/2000 11 41 am']"
['meeting with chairman of the williams company'],"["", i was going through jeff 's email and found this"", 'see below - it looks like this went to catherine of ees ( my name is with a k )', 'it looks like jeff would be available from 2 00 to 3 00', 'i will put it on his calendar to attend for one hour', 'is that good for you enron development12/27/99 09 38 am']"
['stanford/mckinsey globe initiative'],"['the stanford business school , in collaboration with the management-consulting firm mckinsey & company , is conducting a large study of global corporations , their management practices , and organization', 'enron is participating in the project in order to learn how our own practices and activities compare to those of other leading global firms and to see which bring true benefits in the global marketplace', 'one of the unique features of the project is that it seeks to assess the knowledge and communication networks within a company by asking employees throughout the company to comment on their actual practices and experience', ""the goal is to obtain real and accurate information by surveying the people most directly involved in the company 's operations"", 'i would like to ask you to help us in getting the most out of our participation in the globe initiative by completing the globe network survey', 'the survey is brief and should take no longer than 15 or 20 minutes', 'your responses will be treated as strictly confidential , and will be used solely by the stanford/mckinsey researchers to evaluate how specific practices and structures impact global communication and knowledge flows', 'if you would like individual feedback on how your own networks compare to those of others in the study , please check the appropriate box at the end of the survey', 'please save this email for future reference and , again , thank you for contributing to this important learning opportunity', 'to complete the globe network survey , please click on the link below and simply follow the survey instructions', 'you will need to enter the enron']"
['new socal and pg & e products'],"['we have created the new southern border index products for socal and pg & e topock', 'please create your new basis and gas daily products for these indices as soon as possible', 'mattt will need to create the gd index products as well', 'let the brokers know about the new indices i have the back office setting up new curves to book these deals', 'you will have two curves for socal now', 'the curves will show your risk on the old index , as well as the new index', 'the new socal index is the same as the old except that excludes krs', 'i will be taking these phys products out on eol as soon as possible']"
['executive reports viewer'],"['i received an email this morning regarding the reports viewer', ""i agree with restriciting the access to these sensitive reports , but i do n't agree with removing myself from those allowed to review positions"", 'i not only run one of the largest financial books on the floor , but i also manage the west physical book', 'phillip allen passed on the im west physical book to me two months ago', 'while phillip acts as manager of the sub books in the west , i am managing all physical positions']"
['eol products'],"['after continuing to play musical chairs with the west , i think we have decided on a plan', 'and will handle the prompt and term basis', 'this includes the monthly basis , daily basis , and gd index for sj , rox , scal , cg , and malin', 'they will make certain that the gd index products are out there for all terms', 'cary metz is managing the perm products', 'i will handle the prompt month physical fixed price and index for all of the index points', 'the term physical index will be coming soon', ""the rest of the group will continue to manage their cash index points for the next day trading , while adding the bom physical with a basis link to 's gd bom products"", 'i would like to get the cash products out on eol by 7 15 each morning', 'the early info will come in handy as we approach winter', 'let me know what you think', 'steve and matt have started a pilot program in the nw for rolling out their next day cash products after 11 00 am each day', 'we will look into rolling out the sw in the future', 'we are in the process of sending out the odd lot notice to our customers regarding all products on eol', 'we will change our product minimum to one mmbtu in the next week', 'you may want to discuss this with your direct customers before the mailout', 'with the addition of olivia newton-john to my scour selection , it is no secret that we have a new commitment to physical in the west', ""if you review your customer contact sheet and discover an old customer that we have n't contacted in some time , then call them and visit"", 'we will be using eol and the brokers for physical volumes , but nothing beats the direct phone call for the baseload phys']"
['100 % sj'],"[""let 's start thinking about transitioning sj to 100 % flow"", 'i would like to discuss all of the issues and costs of presenting such a product to the market', 'think about what we might need in the form of northwest transport , storage , operations personnel , etc', 'i realize that this will be risky and that i may experience some financial downside with this endeavor , but i think we should press forward', ""will we need intra-day traders to place the gas do we need to establish intra-day relationships with sj producers , utilities , etc will the allocation on el paso in april alleviate some of the cuts let 's discuss in detail""]"
['gd basis products'],"['i am sure that you are aware of the move to daily basis from monthly', 'the west desk will be trying to phase out monthly for daily in the next month', 'we have created term gd basis vs', 'the hhub gd through apr-oct 01 for all index points']"
['newark group billing for february'],"['there is another problem on the invoice', 'according to the pg & etransportation billing newark sierra paperboard used 72758 mmbtu andcalifornia paperboard used 14650 mmbtu', 'the total mmbtu invoiced shouldbe 87408 mmbtu not 87800 mmbtu', 'please bill california paperboard 14650mmbtu instead']"
['ep san juan phys'],"['can we create a san juan phys for oct bidweek what did we decide with this product - swing only if we do , i would like to link it to the basis plus nymex , or to the fixed price gas daily ( fixed price gas daily will be rolled out during bidweek this month because of our risk in gd basis going forward )', 'i want to roll the inside ferc phys points out during bidweek 7-4 , as defined by inside ferc , last trade is mid', 'the ngi index points will be out 7 to 4 during bidweek , as defined by ngi', 'we will plan on sending the data to both index publications', 'time open to market , time of actual trade , counterparty , price , etc', 'this will be considered their last opportunity to be accurate or we will decline to participate until their numbers are audited']"
['prompt transport'],"['please review the transport for next month and make certain that it is set up correctly for market prices', 'perm to socal based on current spreads , sj to waha on epng , sj to waha on tw , etc', 'the sj to waha spread is', '20 for next month , does the transport work at these spreads please make the changes before prebid', 'also , please put in a good burn estimate for citizens next month', 'please prepare to supply our socal pool with non-topock gas 100 % next month']"
['matt smith'],"[""let 's have matt start on the following database for hourly storage activity on socal"", 'begin forecasting hourly and daily activity by backing out receipts , using iso load actuals and backing out real time imports to get in state gen numbers for gas consumption , and then using temps to estimate core gas load', 'back testing once he gets database created should help him forecast core demand', 'update socal and pg & e forecast sheets', 'also , break out new gen by epng and tw pipelines']"
['pg & e topock fin curve'],"['we now have a pg & e topock basis product on eol', 'the curve is currenlty mapped to socal with the differential to socal being calculated in the physical index curve', ""let 's work on setting up this curve on tuesday so that it shows the accurate value for fin deals"", ""we can have the curve calc off of a discount to citygate in keith 's spreadsheet""]"
['gas daily products'],"['you all have done an excellent job with the', 'i have been asked to follow up with you guys to ensure that the products are rolled out on eol at the same time each day and that they be managed in the same manner that you manage your cash products each day', 'we have been asked to have one a day up at all times with a relatively tight two way and to provide market depth', 'you may provide market depth , offset to last trade , or use last trade mid functions', 'let me know if you have any questions or concerns regarding this request']"
['issues'],"['what do you thnk about amazon gift certificates of $ 30', ""00 to the group let 's put the tick on selling mojave index for feb-oct 2001"", 'heavy orig if he can find a nice market', ""let 's put ina on the west desk trip for feb"", 'we should book it now to send a nice message to the group after our last cancellation']"
['changes to financial settlements for ca'],"['we should change all settlements at socal to ngi southern border , socal from southern california border average', 'this new index excludes krs fixed priced trades', 'please let the brokers know about the changes to socal basis going forward', 'please change basis and gd swing swaps ( fp and index ) in eol', 'also , and matt should set up basis and a gd swap ( fp and index ) for southern border , pg & e', 'this will be the index for pg & e topock', 'this index will be effective for april 2001', 'i will have the physical product out there as soon as possible', 'let me know when they have been changed']"
['electronic index descriptions'],"['i would like to add to the database', 'please refernece gas daily publication , page three for the location of these indices', 'we can simply insert the location of the electronic index where we currenly have the gas daily index survey language in the gd swaps in the database', 'i would like to have electronic gd swaps for the following points', 'el paso permian , el paso , non-bondad , kern river/opal plant , socal gas , large packages', 'we will need to add electronic to the product title to differentiate between the two gd swaps']"
['runner on the desk'],"['i will submit the move request for the west desk on monday', 'we should have anne fill this spot', 'i would like her to keep track of new current day and all new deals that flow through the desk', 'she can coordinate tickets to your group and make sure that they get booked throughout the day', 'she can also put physical deals in sitara', 'let me know what the desktop pc will need to be loaded with', 'start thinking of other tasks that she might be able to accomplish so that your group may get home at an earlier time each day', 'you can keep this desk for your own use and rotate people through as needed']"
['physical positions in ncd'],"['please make certain that all physical positions are loaded correctly in ncd for term', 'have patti sullivan load all transport from the transport model in sitara so that the physical index positions will be recognized in ncd', ""this would include sj/perm to socal through oct , baja through mar 20001 ( 100,000/d short pg & e topock , 20,000/d long krs , and 80,0000/d long citygate ) , kingsgate to malin ( barry ) , steve south 's latest transport deal from kingsgate/stanfield to malin , and any sj to waha transport"", ', did you get a ticket from steve on the transport mentioned above king/stan to malin', 'also , let me know what the status of the transport deal from kingsagte to malin with barry', 'is the gd index for perm position loading correctly in ncd for apr-oct mo , please carry out the through mar 2001']"
['pg & e citygate basis position for january'],"['the pg & e basis position in tds does not match the feb/mar position', 'the baja spread was executed as a nov-mar position months ago', 'the only real changes were to socal basis over time', 'there is no telling when this might have changed in error', 'will you please research the position to see when this position was reduced', 'i am guessing that a park and loan was executed by frank ermis at some point and the basis risk was allocated to gd new by mistake']"
['socal transport and baja transport'],"['would it be okay if we went ahead and rolled the socal and baja transport in sitara i would like to input the socal transport through october 2001 , san juan to pg & e topock and mojave topock ( ask janie for the allocation in april )', 'the baja transport is through march 2002', '80000/d to citygate and 20,000 to krs off-system', 'this will really help me monitor my physical index exposure on the curve', ""let 's get together and discuss tomorrow""]"
['question'],"['will be happy to help this group', ""they 'll need to agree to the following"", 'they pay for the cost ( to be determined depending on the quality of the mailing )', 'they provide a mailing list with following separate columns first namelast namecompany nameaddresscitystatezip', 'give us a draft of the text for the mailing', 'give us 5 working days to get it out', '( we will try to do it faster , but it depends on several factors )']"
['rockies products'],"[""steve , let 's discuss all of your new rox products for eol"", 'i would like to know which products to roll out on eol for april bidweek', 'i would also like to discuss creating a of muddy creek product for kern gas', 'i would assume that it would fall under the if kern index']"
['new products'],"['please make a few minor changes to the scal product', 'i would like it read gd/d scal - hhub', 'i apologize about the mistake , but scal is a premium to hhub', 'we also need to take a look at the description , fixed and floating']"
['basis trading'],"[', the new procedures for trading basis are working well', 'we still need to get the desk comfortable with submitting orders to you guys , but overall i am pleased with the new procedure', 'i need to work on staying out of the basis market entirely going forward', 'can you also try to work all basis at socal through keith', 'let keith and mo see all of your socal/malin spreads in the future', 'i think i gave you an order to work apr-oct 02 socal/malin at the same time keith was trying to sell a-o 02 socal basis', 'i will let him know in the future so that we do not cross him in the market']"
['pasadena'],"['we need to make certain that the transport for pasdena is booked properly in sitara', 'i am taking a flash to actual hit on p & l because of our inability to book this deal properly', 'i need the transport booked in sitara at index to index , and then book the fixed cost payed to in an index minus sale to them at the border', 'please run a minibook of the transaction thru the remaining term and let me review it', 'please let me know when this has been fixed', ', what is the cost of the transport for the month of may did we roll the cost from april also , did we change the index in the san juan to inside ferc']"
['associate/ midrotation evaluation'],"['as you approach the mid point in your current rotation , please take this opportunity to fill out an evaluation form on your experience thus far', ""this form will enable the program 's career development department to monitor many things such as quality of work , business unit culture and knowledge gained within your rotation"", 'you will be pleased to know that your input will be used to staff new summer and full time employees', 'we will also be able to identify any potential areas of improvement within the business units', 'the career development department will be able to provide valuable information and compare rotations amongst business units', 'this information will be provided to commercial staffing leads and other business unit leaders', 'remember , it is an opportunity to be heard', 'please complete the attached form and return to me via email or inter office mail', 'if you would like this to be anonymous , please leave off your name but be sure to include your rotation information']"
['thanks ! ! !'],"['the gas daily basis issue should be worked out between your desk and the monthly basis desk', 'we are making markets on gd basis for every term and index point', 'this creates a nice market for term gd index', 'let us know how you guys would like to cover the gd basis with us', 'the real opportunity for gd basis is at socal , where the monthly index is so unreliable']"
"[""today 's p & l""]","['fixing the pg & e topock curve to socal less', '25 would only allocate more positive income to the transport', 'the position at topock is short', 'i am not sure if this is the problem from friday', ""let 's get together in the morning""]"
['cantor fitzgerald'],"['the proxy price will be gas daily and for ca deliveries', 'how do we submit prices to anne , we will need to come up with a cash report , much like our monthly index report for the publications', 'our data submitted will be under scrutiny at some point in the future', 'it is important that all of our cash ( one day ) deals are reported accurately each day']"
['cantor fitzgerald'],"['the proxy price will be gas daily and for ca deliveries', 'how do we submit prices to , we will need to come up with a cash report , much like our monthly index report for the publications', 'our data submitted will be under scrutiny at some point in the future', 'it is important that all of our cash ( one day ) deals are reported accurately each day']"
"[""monday 's index survey - hasd not been distributed""]","['the rockies index language looks good', 'we need to separate the southern border pg & e trades from the southern border socal and socal trades', 'all socal trades ( except krs , which we have none at this time ) go under socal and southern border - socal wacogs , while the pg & e topock/southern border - pg & e trades go under the southern border , pg & e wacog', 'please make the change to the sheet and forward a copy to me before emailing']"
['announcing baby hutch'],"['hutch , how is everything at home we would like to come by this week to see the three of you', ""i am sorry we could n't come by last weekend , but we were all sick"", 'jake continues to be a walking virus', 'talk to you later this week']"
['phys index cuves changes'],"['i made some big changes to the index curves tonight', 'please run a new p & l early in the morning in order to estimate what the changes in book value will be', 'i will need to let john lavorado know about the changes to the curves before we decide to book these tomorrow', 'please run a report from the transport model so that i may see the changes to the delivery points']"
['info on group trip'],"['take a look at the rates for cayman', 'we should try to get a corporate conference rate', 'i will have ina look into that possibility', 'cancun is not an option in march and april - all booked']"
['customer mailout'],"['please read the following email from eol', 'i have asked them to assist the west desk in mailing out an ad to all of our customers ( utilities , producers , industrials , and some ipps ) notifying them of our plan to reduce the minimum volume accepted on all of our eol products', 'start thinking of which customers should be on the list and try to think of a creative way to present this to our customers', 'eol has asked us to provide them with the text of our message', ""also , let 's go ahead and reduce the min volume on our products ( primarily all phys and gas dailies ) this week"", 'we are attempting to capture all of the odd lot flow in the market', 'i would see this service as a clear advantage over the other web platforms', ""let 's get together on friday afternoon at ninfa 's to discuss our ideas""]"
['astros - 4 diamond level seats + parking'],"[""whalley has available diamond level seats ( 4 + parking ) for the 2001 astros ' season"", 'would like to offer you usage of these tickets for customer relations and employee appreciation', 'listed below are some of the amenities associated with the diamond club', 'please contact me , , x31935 for availability']"
['nymex'],"['i would be happy to meet with him , but i need to know exactly when because my september schedule is pretty ugly', 'we have talked with rappaport about their e project , but they do seem to be struggling for strategy', 'it is really surprising that they lost money', ""how did it happen volume could n't have been down , given all the volatility""]"
['enron & fairair - mike kirksey suggested i contact you'],"['i have actually talked with these guys before', 'more than a year ago i think', 'i may have an old copy of their business plan', 'the guy i talked to was frank levy , their ceo', 'just out of curiosity i would like to talk to them again to see if they have anything going']"
"['redmeteor', 'com']","['we currently have nothing working with redmeteor', 'i have spoken with dicosmo a couple of times , but he has never seemed interested in persuing anything', 'we would be willing to discuss an arrangement where enron posts some of its prices directly from eol to redmeteor , but i question whether his technology is up to it', 'we are entering into arrangements like this with other trading platforms', 'there is certainly no reason to avoid talking to them , but i would suggest a conversation with andy zipper on the eol team', 'he is the one that is handling these types of deals', 'i will also forward your message to him']"
